x,y
155,220.4660517
156,220.4396183
157,220.4131848
158,220.3867513
159,220.3603179
160,220.3338844
161,220.3074509
162,220.2810175
163,220.254584
164,220.2281505
165,220.201717
166,220.1752836
167,220.1488501
168,220.1224166
169,220.0959832
170,220.0695497
171,220.0431162
172,220.0166827
173,219.9902493
174,219.9638158
175,219.9373823
176,219.9109489
177,219.8845154
178,219.8580819
179,219.8316485
180,219.805215
181,219.7787815
182,219.752348
183,219.7259146
184,219.6994811
185,219.6730476
186,219.6466142
187,219.6201807
188,219.5937472
189,219.5673137
190,219.5408803
191,219.5144468
192,219.4880133
193,219.4615799
194,219.4351464
195,219.4087129
196,219.3822795
197,219.355846
198,219.3294125
199,219.302979
200,219.2765456
201,219.2501121
202,219.2236786
203,219.1972452
204,219.1708117
205,219.1443782
206,219.1179447
207,219.0915113
208,219.0650778
209,219.0386443
210,219.0122109
211,218.9857774
212,218.9593439
213,218.9329105
214,218.906477
215,218.8800435
216,218.85361
217,218.8271766
218,218.8007431
219,218.7743096
220,218.7478762
221,218.7214427
222,218.6950092
223,218.6685757
224,218.6421423
225,218.6157088
226,218.5892753
227,218.5628419
228,218.5364084
229,218.5099749
230,218.4835415
231,218.457108
232,218.4306745
233,218.404241
234,218.3778076
235,218.3513741
236,218.3249406
237,218.2985072
238,218.2720737
239,218.2456402
240,218.2192067
241,218.1927733
242,218.1663398
243,218.1399063
244,218.1134729
245,218.0870394
246,218.0606059
247,218.0341724
248,218.007739
249,217.9813055
250,217.954872
251,217.9284386
252,217.9020051
253,217.8755716
254,217.8491382
255,217.8227047
256,217.7962712
257,217.7698377
258,217.7434043
259,217.7169708
260,217.6905373
261,217.6641039
262,217.6376704
263,217.6112369
264,217.5848034
265,217.55837
266,217.5319365
267,217.505503
268,217.4790696
269,217.4526361
270,217.4262026
271,217.3997692
272,217.3733357
273,217.3469022
274,217.3204687
275,217.2940353
276,217.2676018
277,217.2411683
278,217.2147349
279,217.1883014
280,217.1618679
281,217.1354344
282,217.109001
283,217.0825675
284,217.056134
285,217.0297006
286,217.0032671
287,216.9768336
288,216.9504002
289,216.9239667
290,216.8975332
291,216.8710997
292,216.8446663
293,216.8182328
294,216.7917993
295,216.7653659
296,216.7389324
297,216.7124989
298,216.6860654
299,216.659632
300,216.6331985
301,216.606765
302,216.5803316
303,216.5538981
304,216.5274646
305,216.5010312
306,216.4745977
307,216.4481642
308,216.4217307
309,216.3952973
310,216.3688638
311,216.3424303
312,216.3159969
313,216.2895634
314,216.2631299
315,216.2366964
316,216.210263
317,216.1838295
318,216.157396
319,216.1309626
320,216.1045291
321,216.0780956
322,216.0516622
323,216.0252287
324,215.9987952
325,215.9723617
326,215.9459283
327,215.9194948
328,215.8930613
329,215.8666279
330,215.8401944
331,215.8137609
332,215.7873274
333,215.760894
