x,y
1373,186.4713065
1374,186.4468864
1375,186.4224664
1376,186.3980464
1377,186.3736264
1378,186.3492063
1379,186.3247863
1380,186.3003663
1381,186.2759463
1382,186.2515263
1383,186.2271062
1384,186.2026862
1385,186.1782662
1386,186.1538462
1387,186.1294261
1388,186.1050061
1389,186.0805861
1390,186.0561661
1391,186.031746
1392,186.007326
1393,185.982906
1394,185.958486
1395,185.9340659
1396,185.9096459
1397,185.8852259
1398,185.8608059
1399,185.8363858
1400,185.8119658
1401,185.7875458
1402,185.7631258
1403,185.7387057
1404,185.7142857
1405,185.6898657
1406,185.6654457
1407,185.6410256
1408,185.6166056
1409,185.5921856
1410,185.5677656
1411,185.5433455
1412,185.5189255
1413,185.4945055
1414,185.4700855
1415,185.4456654
1416,185.4212454
1417,185.3968254
1418,185.3724054
1419,185.3479853
1420,185.3235653
1421,185.2991453
1422,185.2747253
1423,185.2503053
1424,185.2258852
1425,185.2014652
1426,185.1770452
1427,185.1526252
1428,185.1282051
1429,185.1037851
1430,185.0793651
1431,185.0549451
1432,185.030525
1433,185.006105
1434,184.981685
1435,184.957265
1436,184.9328449
1437,184.9084249
1438,184.8840049
1439,184.8595849
1440,184.8351648
1441,184.8107448
1442,184.7863248
1443,184.7619048
1444,184.7374847
1445,184.7130647
1446,184.6886447
1447,184.6642247
1448,184.6398046
1449,184.6153846
1450,184.5909646
1451,184.5665446
1452,184.5421245
1453,184.5177045
1454,184.4932845
1455,184.4688645
1456,184.4444444
1457,184.4200244
1458,184.3956044
1459,184.3711844
1460,184.3467643
1461,184.3223443
1462,184.2979243
1463,184.2735043
1464,184.2490842
1465,184.2246642
1466,184.2002442
1467,184.1758242
1468,184.1514042
1469,184.1269841
1470,184.1025641
1471,184.0781441
1472,184.0537241
1473,184.029304
1474,184.004884
1475,183.980464
1476,183.956044
1477,183.9316239
1478,183.9072039
1479,183.8827839
1480,183.8583639
1481,183.8339438
1482,183.8095238
1483,183.7851038
1484,183.7606838
1485,183.7362637
1486,183.7118437
1487,183.6874237
1488,183.6630037
1489,183.6385836
1490,183.6141636
1491,183.5897436
1492,183.5653236
1493,183.5409035
1494,183.5164835
1495,183.4920635
1496,183.4676435
1497,183.4432234
1498,183.4188034
1499,183.3943834
1500,183.3699634
1501,183.3455433
1502,183.3211233
1503,183.2967033
1504,183.2722833
1505,183.2478632
1506,183.2234432
1507,183.1990232
1508,183.1746032
1509,183.1501832
1510,183.1257631
1511,183.1013431
1512,183.0769231
1513,183.0525031
1514,183.028083
1515,183.003663
1516,182.979243
1517,182.954823
1518,182.9304029
1519,182.9059829
1520,182.8815629
1521,182.8571429
1522,182.8327228
1523,182.8083028
1524,182.7838828
1525,182.7594628
1526,182.7350427
1527,182.7106227
1528,182.6862027
1529,182.6617827
1530,182.6373626
1531,182.6129426
1532,182.5885226
1533,182.5641026
1534,182.5396825
1535,182.5152625
1536,182.4908425
1537,182.4664225
1538,182.4420024
1539,182.4175824
1540,182.3931624
1541,182.3687424
1542,182.3443223
1543,182.3199023
1544,182.2954823
1545,182.2710623
1546,182.2466422
1547,182.2222222
1548,182.1978022
1549,182.1733822
1550,182.1489621
1551,182.1245421
1552,182.1001221
1553,182.0757021
1554,182.0512821
1555,182.026862
1556,182.002442
1557,181.978022
1558,181.953602
1559,181.9291819
1560,181.9047619
1561,181.8803419
1562,181.8559219
1563,181.8315018
1564,181.8070818
1565,181.7826618
1566,181.7582418
1567,181.7338217
1568,181.7094017
1569,181.6849817
1570,181.6605617
1571,181.6361416
1572,181.6117216
1573,181.5873016
1574,181.5628816
1575,181.5384615
1576,181.5140415
1577,181.4896215
1578,181.4652015
1579,181.4407814
1580,181.4163614
1581,181.3919414
1582,181.3675214
1583,181.3431013
1584,181.3186813
1585,181.2942613
1586,181.2698413
1587,181.2454212
1588,181.2210012
1589,181.1965812
1590,181.1721612
1591,181.1477411
1592,181.1233211
1593,181.0989011
1594,181.0744811
1595,181.0500611
1596,181.025641
1597,181.001221
1598,180.976801
1599,180.952381
1600,180.9279609
1601,180.9035409
1602,180.8791209
1603,180.8547009
1604,180.8302808
1605,180.8058608
1606,180.7814408
1607,180.7570208
1608,180.7326007
1609,180.7081807
1610,180.6837607
1611,180.6593407
1612,180.6349206
1613,180.6105006
1614,180.5860806
1615,180.5616606
1616,180.5372405
1617,180.5128205
